"","X","convert_ind","discount","Home_policy_ind","df_prior_carrier","df_cov_package","df_cat_zone","number_drivers","num_loaned_veh","num_owned_veh","num_leased_veh","driver_age","split","freq_agent"
"1",1,0,1,1,0,0,1,2,1,2,0,99,"Train",1
"2",2,NA,0,0,3,2,3,1,1,1,2,56,"Test",0
"3",3,0,0,0,3,1,1,2,1,2,1,98,"Train",1
"4",4,NA,0,0,6,1,2,1,2,3,0,30,"Test",1
"5",5,0,0,0,2,1,3,2,0,1,2,113,"Train",0
"6",6,0,0,0,3,0,0,1,2,2,0,18,"Train",1
"7",7,0,0,0,4,0,3,4,2,2,2,93,"Train",0
"8",8,NA,0,0,5,0,3,4,0,2,0,91,"Test",1
"9",9,NA,0,0,9,2,1,3,1,3,2,144,"Test",1
"10",10,NA,0,0,0,2,0,1,2,3,0,55,"Test",1
"11",11,0,0,0,0,1,1,1,1,1,0,49,"Train",0
"12",12,0,0,0,0,2,1,3,2,1,1,102,"Train",1
"13",13,0,1,1,4,2,3,4,0,2,1,116,"Train",1
"14",14,0,0,0,1,0,4,2,1,2,2,93,"Train",1
"15",15,NA,0,0,1,2,0,3,3,1,0,106,"Test",1
"16",16,1,0,0,4,2,1,1,1,1,0,37,"Train",1
"17",17,0,0,0,3,0,4,5,0,2,0,168,"Train",1
"18",18,0,0,0,0,1,1,2,1,1,1,78,"Train",1
"19",19,NA,0,0,7,1,1,1,0,2,0,28,"Test",0
"20",20,0,0,0,3,2,3,4,0,2,1,129,"Train",1
"21",21,0,0,0,2,1,3,4,0,2,0,122,"Train",1
"22",22,0,0,0,7,2,1,1,1,2,1,62,"Train",1
"23",23,0,0,0,5,0,2,2,3,2,0,105,"Train",0
"24",24,NA,0,0,0,2,0,3,2,2,1,67,"Test",1
"25",25,0,0,0,1,0,1,1,2,3,2,17,"Train",1
"26",26,1,1,1,5,1,1,3,0,1,0,112,"Train",1
"27",27,0,1,1,9,1,2,2,2,2,0,70,"Train",1
"28",28,0,0,0,6,1,2,2,1,2,0,74,"Train",1
"29",29,NA,0,0,9,1,0,1,1,1,2,30,"Test",0
"30",30,1,0,0,2,2,1,2,2,3,1,87,"Train",1
"31",31,NA,0,0,9,2,0,1,2,1,1,50,"Test",1
"32",32,NA,0,0,3,0,4,1,3,1,0,54,"Test",1
"33",33,0,0,0,4,3,1,2,1,2,2,107,"Train",1
"34",34,NA,0,0,6,1,0,1,3,1,0,65,"Test",0
"35",35,NA,0,0,5,2,4,1,2,1,0,17,"Test",1
"36",36,0,0,0,2,0,4,2,0,1,1,72,"Train",1
"37",37,NA,0,0,1,2,0,1,1,1,0,29,"Test",1
"38",38,1,1,1,0,1,3,1,2,2,1,37,"Train",1
"39",39,NA,0,0,7,0,3,2,1,1,0,52,"Test",1
"40",40,0,0,0,4,1,2,2,1,1,0,108,"Train",1
"41",41,0,0,0,2,1,2,1,2,1,1,46,"Train",1
"42",42,NA,0,0,2,0,4,1,1,1,0,43,"Test",0
"43",43,0,0,0,6,0,4,5,2,2,1,171,"Train",0
"44",44,1,1,0,5,0,4,1,3,2,1,51,"Train",1
"45",45,0,0,0,4,0,4,1,0,1,1,60,"Train",1
"46",46,0,1,0,1,1,2,3,2,2,0,71,"Train",1
"47",47,1,1,1,5,2,0,5,1,1,1,111,"Train",1
"48",48,0,0,0,0,0,4,2,2,3,0,105,"Train",1
"49",49,0,1,1,9,2,1,2,0,1,0,66,"Train",0
"50",50,1,1,1,5,1,0,2,1,1,0,53,"Train",1
"51",51,0,1,1,7,0,4,2,1,1,0,94,"Train",1
"52",52,0,0,0,8,1,2,1,1,1,1,28,"Train",1
"53",53,0,0,0,9,0,0,1,2,3,2,52,"Train",0
"54",54,1,1,1,8,1,2,1,0,1,1,28,"Train",0
"55",55,0,0,0,4,0,4,2,0,1,0,82,"Train",1
"56",56,0,0,0,2,1,0,3,1,3,2,124,"Train",1
"57",57,0,0,0,9,0,0,3,2,2,0,91,"Train",1
"58",58,NA,1,1,4,0,2,1,1,1,1,49,"Test",1
"59",59,0,1,1,3,0,4,2,1,2,0,63,"Train",1
"60",60,NA,0,0,4,0,4,2,1,3,0,93,"Test",0
"61",61,1,0,0,9,2,0,1,2,1,1,43,"Train",1
"62",62,0,0,0,4,0,4,1,1,2,0,51,"Train",0
"63",63,1,1,1,0,2,1,2,0,3,2,95,"Train",1
"64",64,NA,1,1,9,0,4,2,1,3,1,104,"Test",1
"65",65,0,1,0,9,0,4,5,1,1,1,147,"Train",1
"66",66,0,1,0,2,0,4,2,0,1,2,116,"Train",1
"67",67,NA,0,0,3,0,4,1,1,1,1,60,"Test",0
"68",68,0,0,0,6,1,0,3,0,3,0,97,"Train",1
"69",69,0,1,1,9,2,0,2,1,1,2,106,"Train",1
"70",70,NA,0,0,4,1,1,2,0,2,0,129,"Test",1
"71",71,0,0,0,4,0,3,3,3,2,0,68,"Train",1
"72",72,0,0,0,4,0,3,3,1,2,0,71,"Train",0
"73",73,0,1,1,6,2,3,3,2,1,0,123,"Train",1
"74",74,0,1,1,4,1,3,3,1,3,2,86,"Train",1
"75",75,0,0,0,7,1,2,1,1,1,1,45,"Train",0
"76",76,0,0,0,6,1,1,3,3,2,0,89,"Train",1
"77",77,0,1,0,1,0,0,1,1,1,0,65,"Train",0
"78",78,0,0,0,4,0,4,4,2,2,0,129,"Train",1
"79",79,0,0,0,9,2,1,3,1,1,1,128,"Train",0
"80",80,NA,0,0,7,1,0,3,1,2,0,102,"Test",1
"81",81,0,0,0,6,2,0,1,2,1,0,58,"Train",0
"82",82,0,0,0,5,2,0,3,2,2,2,104,"Train",0
"83",83,0,0,0,7,0,3,2,1,3,1,94,"Train",1
"84",84,0,0,0,0,0,4,2,1,1,0,115,"Train",1
"85",85,1,0,0,2,1,0,3,2,1,1,96,"Train",0
"86",86,0,0,0,3,1,0,2,0,2,1,79,"Train",1
"87",87,0,0,0,4,0,3,1,1,2,0,39,"Train",0
"88",88,0,0,0,8,1,3,3,0,1,0,69,"Train",0
"89",89,0,0,0,2,1,3,5,0,2,0,144,"Train",1
"90",90,0,0,0,9,1,2,4,3,2,1,148,"Train",1
"91",91,NA,0,0,3,1,2,1,1,2,0,38,"Test",1
"92",92,0,0,0,5,2,1,2,0,1,0,146,"Train",0
"93",93,0,0,0,7,0,3,4,2,3,0,102,"Train",1
"94",94,0,0,0,9,0,4,3,2,3,0,93,"Train",1
"95",95,NA,0,0,9,0,4,4,2,1,1,112,"Test",0
"96",96,NA,0,0,4,2,1,1,0,2,0,54,"Test",1
"97",97,0,0,0,2,2,1,2,0,1,1,82,"Train",1
"98",98,0,0,0,9,1,0,4,1,1,0,84,"Train",1
"99",99,1,0,0,1,2,0,1,1,2,1,72,"Train",1
"100",100,0,1,1,7,2,0,1,0,1,1,41,"Train",0
"101",101,NA,0,0,5,2,0,2,3,2,0,108,"Test",1
"102",102,NA,1,1,5,0,4,2,1,1,1,61,"Test",0
"103",103,0,0,0,0,1,2,1,1,2,0,54,"Train",1
"104",104,0,0,0,3,2,1,1,2,1,0,46,"Train",0
"105",105,0,0,0,0,0,0,1,1,1,0,39,"Train",1
"106",106,0,0,0,4,1,1,1,1,1,0,56,"Train",0
"107",107,0,0,0,2,0,4,1,2,1,0,43,"Train",0
"108",108,1,0,0,0,1,0,5,2,1,0,150,"Train",1
"109",109,0,0,0,0,1,2,1,2,1,1,39,"Train",0
"110",110,0,0,0,6,2,2,2,1,1,0,107,"Train",1
"111",111,0,0,0,4,1,0,4,1,1,1,85,"Train",1
"112",112,0,0,0,2,1,1,1,1,1,1,51,"Train",1
"113",113,NA,0,0,0,0,4,1,2,1,0,42,"Test",1
"114",114,0,0,0,7,2,1,3,3,3,0,140,"Train",1
"115",115,NA,1,1,7,0,4,5,0,1,1,164,"Test",1
"116",116,0,0,0,7,2,2,2,2,1,1,130,"Train",1
"117",117,1,1,1,2,2,0,1,1,1,1,48,"Train",1
"118",118,0,1,1,4,1,1,1,0,1,0,41,"Train",1
"119",119,0,0,0,4,1,1,1,1,2,1,17,"Train",1
"120",120,0,0,0,9,0,4,1,0,1,1,34,"Train",1
"121",121,0,0,0,4,1,2,2,0,3,0,81,"Train",0
"122",122,0,0,0,2,1,1,3,1,3,1,116,"Train",0
"123",123,0,0,0,7,3,3,2,1,2,0,108,"Train",1
"124",124,1,0,0,0,2,1,1,1,1,1,52,"Train",1
"125",125,0,0,0,0,1,1,1,1,1,0,19,"Train",1
"126",126,0,0,0,4,2,4,1,3,2,0,47,"Train",1
"127",127,NA,0,0,4,0,2,1,2,2,0,60,"Test",1
"128",128,1,1,1,7,1,0,1,0,2,0,69,"Train",0
"129",129,0,0,0,8,0,0,3,1,2,0,115,"Train",1
"130",130,0,0,0,5,1,1,3,2,1,0,81,"Train",0
