"","n_safty_rating","discount","Home_policy_ind","df_prior_carrier","df_cov_package","df_cat_zone","number_drivers","num_loaned_veh","num_owned_veh","num_leased_veh","driver_age","freq_agent","lon","lat","quoted_amt","credit_score"
"1",148,1,1,0,0,1,2,1,2,0,99,1,-73.8242621,40.8262186,5153,613
"3",140,0,0,3,1,1,2,1,2,1,98,1,-73.6227136,40.8155959,3090,631
"5",163,0,0,2,1,3,2,0,1,2,113,0,-77.55621,43.2110525,14917,602
"6",66,0,0,3,0,0,1,2,2,0,18,1,-81.444379,28.5141606,4620,704
"7",297,0,0,4,0,3,4,2,2,2,93,0,-74.1298684,40.5729336,11470,611
"11",76,0,0,0,1,1,1,1,1,0,49,0,-92.9475662,44.915423,2566,668
"12",215,0,0,0,2,1,3,2,1,1,102,1,-80.2042436,25.7870967,1779,772
"13",308,1,1,4,2,3,4,0,2,1,116,1,-74.0123851,40.8924932,4597,568
"14",136,0,0,1,0,4,2,1,2,2,93,1,-80.2934522,25.6993807,2196,621
"16",61,0,0,4,2,1,1,1,1,0,37,1,-74.0593872,40.9877985,1636,723
"17",323,0,0,3,0,4,5,0,2,0,168,1,-74.2032581,40.8034312,1061,773
"18",81,0,0,0,1,1,2,1,1,1,78,1,-74.2296713,40.8589645,2007,596
"20",256,0,0,3,2,3,4,0,2,1,129,1,-93.3237824,44.9191183,1346,776
"21",280,0,0,2,1,3,4,0,2,0,122,1,-88.3530747,44.2455449,24111,486
"22",64,0,0,7,2,1,1,1,2,1,62,1,-82.5239953,27.3086034,4280,656
"23",105,0,0,5,0,2,2,3,2,0,105,0,-74.9150313,40.0520116,3897,739
"25",53,0,0,1,0,1,1,2,3,2,17,1,-80.1233175,26.1531223,2694,638
"26",183,1,1,5,1,1,3,0,1,0,112,1,-74.2355404,40.716493,3941,627
"27",140,1,1,9,1,2,2,2,2,0,70,1,-87.997164,42.9388315,15642,510
"28",158,0,0,6,1,2,2,1,2,0,74,1,-74.7673546,40.2187428,2171,632
"30",175,0,0,2,2,1,2,2,3,1,87,1,-73.7442568,40.7302787,5526,616
"33",107,0,0,4,3,1,2,1,2,2,107,1,-74.156292,40.8955467,1422,759
"36",122,0,0,2,0,4,2,0,1,1,72,1,-74.3997976,40.6303421,2511,654
