"","ch.zip","lon","lat"
"1","10465",-73.8242621,40.8262186
"2","12801",-73.6477342,43.3163893
"3","11548",-73.6227136,40.8155959
"4","33141",-80.1484407,25.8535635
"5","14622",-77.55621,43.2110525
"6","32811",-81.444379,28.5141606
"7","10306",-74.1298684,40.5729336
"8","8904",-74.4261821,40.502468
"9","6907",-73.5211286,41.0994238
"10","11550",-73.6241855,40.6986257
"11","55125",-92.9475662,44.915423
"12","33136",-80.2042436,25.7870967
"13","7666",-74.0123851,40.8924932
"14","33143",-80.2934522,25.6993807
"15","11419",-73.8213213,40.6900246
"16","7676",-74.0593872,40.9877985
"17","7028",-74.2032581,40.8034312
"18","7009",-74.2296713,40.8589645
"19","32250",-81.4114142,30.2745944
"20","55410",-93.3237824,44.9191183
"21","54915",-88.3530747,44.2455449
"22","34239",-82.5239953,27.3086034
"23","8010",-74.9150313,40.0520116
"24","10013",-74.0094471,40.7217861
"25","33305",-80.1233175,26.1531223
"26","7111",-74.2355404,40.716493
"27","53129",-87.997164,42.9388315
"28","8608",-74.7673546,40.2187428
"29","11596",-73.6447908,40.7583894
"30","11427",-73.7442568,40.7302787
"31","7626",-73.9565551,40.9412128
"32","55814",-92.19,46.84
"33","7503",-74.156292,40.8955467
"34","33325",-80.3324514,26.1059556
"35","11727",-72.9992013,40.8818158
"36","7062",-74.3997976,40.6303421
"37","7057",-74.103441,40.8535873
"38","10028",-73.9521468,40.7766412
"39","53703",-89.3724769,43.0833196
"40","6606",-73.2116584,41.2078356
"41","11238",-73.9624327,40.6805029
"42","36604",-88.0656445,30.6804215
"43","30083",-84.1909841,33.7994803
"44","55343",-93.4296446,44.9019949
"45","11426",-73.7213063,40.7349144
"46","10018",-73.9932872,40.755322
"47","7643",-74.0358876,40.846514
"48","30305",-84.3857442,33.8363126
"49","33919",-81.898908,26.5545224
"50","10027",-73.9624327,40.8138912
"51","14778",-78.4758571,42.0786337
"52","33130",-80.2070328,25.7667897
"53","33167",-80.2377078,25.8830363
"54","33054",-80.2432839,25.9126818
"55","11569",-73.5623575,40.6031326
"56","14611",-77.6364299,43.1530599
"57","6510",-72.9268626,41.3052226
"58","33445",-80.109357,26.4647478
"59","14202",-78.8736493,42.8943161
"60","33415",-80.1316927,26.6530817
"61","14614",-77.6120835,43.153975
"62","12801",-73.6477342,43.3163893
"63","33328",-80.2711588,26.0725672
"64","7621",-74.0006328,40.9203906
"65","14608",-77.6221091,43.1491054
"66","10522",-73.8713099,41.0102232
"67","30008",-84.5903367,33.8955185
"68","6112",-72.6919814,41.7895977
"69","7675",-73.9947563,41.0229118
"70","32176",-81.0478643,29.2971256
"71","11693",-73.8272029,40.6166766
"72","30341",-84.3016021,33.8992049
"73","55107",-93.0676373,44.9309348
"74","11557",-73.6918806,40.636775
"75","12210",-73.762495,42.6532844
"76","32210",-81.7239979,30.2775931
"77","53140",-87.8255007,42.638141
"78","11741",-73.0700421,40.7941562
"79","33773",-82.7535929,27.8780347
"80","11373",-73.8801301,40.737975
"81","33990",-81.9425701,26.6272788
"82","7090",-74.3411515,40.6519674
"83","14227",-78.7362845,42.8795568
"84","54946",-89.1438051,44.3387864
"85","11710",-73.529964,40.6651384
"86","35064",-86.9173327,33.4730218
"87","6118",-72.6032895,41.7516768
"88","6614",-73.1231585,41.228775
"89","6604",-73.195196,41.1865502
"90","32216",-81.5706109,30.2906907
"91","33313",-80.2265545,26.1514248
"92","8021",-75.0026972,39.8073767
"93","53208",-87.962884,43.0499798
"94","11003",-73.706594,40.7006866
"95","36616",-88.04,30.69
"96","32828",-81.1747498,28.5374094
"97","7650",-73.9976946,40.8485005
"98","30312",-84.377861,33.7440941
"99","33143",-80.2934522,25.6993807
"100","55433",-93.3132624,45.1670628
"101","7044",-74.2472779,40.836743
"102","54140",-88.3093517,44.2875258
"103","7310",-74.0329499,40.7300567
"104","7206",-74.1797766,40.6517773
"105","55806",-92.131325,46.7619249
"106","11221",-73.9271644,40.6903213
"107","30067",-84.4697663,33.9290987
"108","7512",-74.223802,40.9025415
"109","10606",-73.7742616,41.0233153
