index,Unnamed: 0,discount,Home_policy_ind,m_living_status,m_ownership,df_prior_carrier,df_cov_package,df_cat_zone,quoted_amt,credit_score,number_drivers,num_loaned_veh,num_owned_veh,num_leased_veh,driver_age,n_safty_rating,car_age,n_car,lon,lat,state_id,Agent_cd,num_date,county_name,n_gender,max_high_edu
43,44,1,0,2,1,5,2,4,1601,724,1,3,2,1,51,90,4,2,-93.4296446,44.9019949,MN,28009950,1437404400,44,-1,1
53,54,1,1,1,0,8,1,2,4089,664,1,0,1,1,28,66,4,2,-80.2432839,25.9126818,FL,13469725,1431356400,81,-1,0
152,153,0,0,1,0,7,1,2,3300,659,2,2,1,1,50,42,6,2,-80.3992652,25.6653934,FL,13469725,1450191600,81,2,1
276,277,0,0,2,0,7,2,3,4024,682,1,1,2,2,66,81,5,2,-80.2209773,26.2153627,FL,63155143,1450105200,12,-1,1
306,307,0,0,0,0,7,1,2,4221,654,1,1,1,1,17,77,5,2,-73.9183464,42.8162941,NY,44347555,1463929200,0,-1,0
384,385,0,0,2,0,1,1,2,2203,723,1,3,1,1,38,74,4,2,-84.2542195,30.4305062,FL,19946144,1422802800,62,-1,1
730,731,0,0,0,1,0,0,0,4527,718,3,1,1,0,33,67,4,2,-74.1856472,40.7663804,NJ,28393634,1493305200,55,1,1
910,911,1,0,2,0,2,2,3,7276,617,3,1,1,0,43,64,4,3,-73.0346244,40.8085015,NY,92495499,1514905200,88,1,1
936,937,0,0,1,0,5,0,1,1303,767,2,1,1,1,48,75,7,1,-82.4427769,28.0563834,FL,62221276,1526655600,100,0,0
1105,1106,0,0,0,0,0,1,0,9383,549,3,2,1,1,37,45,3,2,-73.9447994,40.6285158,NY,99284448,1446476400,50,1,1
1232,1233,0,0,1,0,9,1,1,3432,670,2,1,2,1,46,69,4,4,-74.0916944,40.6047352,NY,83826679,1422198000,69,0,1
1386,1387,1,1,0,1,9,0,0,3149,676,1,0,1,1,18,82,4,3,-73.0818468,40.7368396,NY,33105135,1472310000,88,1,0
1408,1409,0,0,1,0,5,2,2,10215,502,1,2,1,0,47,81,6,3,-87.9383822,43.0738036,WI,13763026,1531753200,53,-1,1
