discount,Home_policy_ind,m_living_status,m_ownership,df_prior_carrier,df_cov_package,df_cat_zone,quoted_amt,credit_score,number_drivers,num_loaned_veh,num_owned_veh,num_leased_veh,driver_age,n_safty_rating,car_age,n_car,lon,lat,state_id,Agent_cd,num_date,county_name,n_gender,max_high_edu
1,1,2,0,0,2,1,5153,613,2,1,2,0,50,74,5,2,-73.8242621,40.8262186,5,15973623,16462.625,1,0,1
0,0,2,0,3,1,1,3090,631,2,1,2,1,49,70,7,2,-73.6227136,40.8155959,5,32759856,17776.625,104,0,1
0,0,1,0,2,1,3,14917,602,2,0,1,2,56,82,4,2,-77.55621,43.2110525,5,15675431,16938.625,26,0,1
0,0,0,0,3,2,0,4620,704,1,2,2,0,18,66,6,3,-81.444379,28.5141606,0,91762319,17121.625,49,-1,0
0,0,0,0,4,2,3,11470,611,4,2,2,2,23,74,7,2,-74.1298684,40.5729336,5,97388179,17350.625,69,-2,0
0,0,1,0,0,1,1,2566,668,1,1,1,0,49,76,5,3,-92.9475662,44.915423,7,59705446,17524.625,82,-1,0
0,0,1,0,0,0,1,1779,772,3,2,1,1,34,72,4,2,-80.2042436,25.7870967,0,37520067,17856.625,81,1,1
1,1,0,0,4,0,3,4597,568,4,0,2,1,29,77,6,2,-74.0123851,40.8924932,6,84058252,16523.625,93,2,1
0,0,1,1,1,2,4,2196,621,2,1,2,2,46,68,4,2,-80.2934522,25.6993807,0,19952087,17115.625,81,2,1
0,0,2,0,4,0,1,1636,723,1,1,1,0,37,61,3,2,-74.0593872,40.9877985,6,53860167,17810.625,93,1,1
0,0,0,0,3,2,4,1061,773,5,0,2,0,34,65,4,2,-74.2032581,40.8034312,6,42723465,16517.625,55,-3,1
0,0,0,0,0,1,1,2007,596,2,1,1,1,39,40,6,2,-74.2296713,40.8589645,6,51518418,16982.625,55,0,0
0,0,0,1,3,0,3,1346,776,4,0,2,1,32,64,5,3,-93.3237824,44.9191183,7,53965240,17114.625,44,4,1
0,0,0,0,2,1,3,24111,486,4,0,2,0,30,70,4,2,-88.3530747,44.2455449,2,18605075,17758.625,57,0,1
0,0,2,1,7,0,1,4280,656,1,1,2,1,62,64,5,3,-82.5239953,27.3086034,0,61051309,16461.625,8,1,1
0,0,1,0,5,2,2,3897,739,2,3,2,0,52,52,4,2,-74.9150313,40.0520116,6,49076574,17055.625,39,0,1
0,0,0,0,1,2,1,2694,638,1,2,3,2,17,53,5,2,-80.1233175,26.1531223,0,63155143,16616.625,12,1,0
1,1,1,0,5,1,1,3941,627,3,0,1,0,37,61,4,2,-74.2355404,40.716493,6,78821535,17008.625,55,1,1
1,1,0,0,9,1,2,15642,510,2,2,2,0,35,70,3,2,-87.997164,42.9388315,2,42197274,16788.625,53,0,1
0,0,0,0,6,1,2,2171,632,2,1,2,0,37,79,4,2,-74.7673546,40.2187428,6,65390982,17671.625,63,-2,1
0,0,0,0,2,0,1,5526,616,2,2,3,1,44,88,5,2,-73.7442568,40.7302787,5,76271163,16508.625,29,0,1
0,0,1,1,4,3,1,1422,759,2,1,2,2,54,54,6,2,-74.156292,40.8955467,6,18511544,16722.625,109,-2,1
0,0,1,0,2,2,4,2511,654,2,0,1,1,36,61,5,2,-74.3997976,40.6303421,6,21180633,17718.625,98,-2,1
1,1,1,0,0,1,3,3156,675,1,2,2,1,37,61,4,2,-73.9521468,40.7766412,5,70100015,17106.625,78,-1,0
0,0,1,0,4,1,2,8368,553,2,1,1,0,54,63,4,2,-73.2116584,41.2078356,3,77602110,16914.625,107,0,0
0,0,2,0,2,1,2,5768,604,1,2,1,1,46,78,3,2,-73.9624327,40.6805029,5,27547828,16995.625,50,1,1
0,0,0,0,6,2,4,13749,594,5,2,2,1,34,60,6,3,-84.1909841,33.7994803,4,56659972,16905.625,73,-1,1
1,0,2,1,5,2,4,1601,724,1,3,2,1,51,90,4,2,-93.4296446,44.9019949,7,28009950,16636.625,44,-1,1
0,0,1,0,4,2,4,4935,611,1,0,1,1,60,84,6,1,-73.7213063,40.7349144,5,78328194,17799.625,29,1,1
1,0,0,1,1,1,2,4080,635,3,2,2,0,24,68,5,2,-73.9932872,40.755322,5,56288570,17543.625,78,-1,1
1,1,0,2,5,0,0,404,784,5,1,1,1,22,66,3,2,-74.0358876,40.846514,6,98501067,16807.625,93,-1,0
0,0,1,1,0,2,4,36255,542,2,2,3,0,52,74,4,4,-84.3857442,33.8363126,4,94252958,16439.625,19,0,1
1,1,0,0,9,0,1,5677,672,2,0,1,0,33,60,6,3,-81.898908,26.5545224,0,59217095,17765.625,41,0,1
1,1,0,1,5,1,0,2963,614,2,1,1,0,26,72,5,2,-73.9624327,40.8138912,5,42500759,16606.625,78,2,1
1,1,2,0,7,2,4,6261,541,2,1,1,0,47,76,5,2,-78.4758571,42.0786337,5,30837476,17090.625,6,0,1
0,0,1,0,8,1,2,5863,693,1,1,1,1,28,80,3,2,-80.2070328,25.7667897,0,16509296,17547.625,81,1,0
0,0,1,2,9,2,0,4603,623,1,2,3,2,52,64,4,2,-80.2377078,25.8830363,0,13469725,17424.625,81,1,1
1,1,1,0,8,1,2,4089,664,1,0,1,1,28,66,4,2,-80.2432839,25.9126818,0,13469725,16566.625,81,-1,0
0,0,0,2,4,2,4,6670,589,2,0,1,0,41,69,4,2,-73.5623575,40.6031326,5,33105135,16885.625,104,0,1
0,0,2,0,2,1,0,4564,732,3,1,3,2,41,76,8,2,-77.6364299,43.1530599,5,96713748,17165.625,26,-1,1
0,0,0,2,9,2,0,2449,602,3,2,2,0,30,85,6,2,-72.9268626,41.3052226,3,55525828,16651.625,35,1,1
1,1,0,0,3,2,4,8214,532,2,1,2,0,32,68,2,2,-78.8736493,42.8943161,5,44166623,17356.625,67,0,1
0,0,1,0,9,0,0,5949,651,1,2,1,1,43,75,4,1,-77.6120835,43.153975,5,44305694,17465.625,26,-1,0
0,0,2,0,4,2,4,8287,585,1,1,2,0,51,75,8,2,-73.6477342,43.3163893,5,42432560,17715.625,61,1,1
1,1,1,0,0,0,1,797,730,2,0,3,2,48,63,5,2,-80.2711588,26.0725672,0,63155143,17544.625,12,2,1
1,0,0,2,9,2,4,7799,625,5,1,1,1,29,81,4,2,-77.6221091,43.1491054,5,68837393,17751.625,26,-1,1
1,0,2,0,2,2,4,9412,576,2,0,1,2,58,64,6,3,-73.8713099,41.0102232,5,74355463,16525.625,94,-2,1
0,0,0,0,6,1,0,2161,653,3,0,3,0,32,75,5,2,-72.6919814,41.7895977,3,33015616,16563.625,16,1,1
1,1,1,0,9,0,0,1102,778,2,1,1,2,53,74,4,3,-73.9947563,41.0229118,6,84058252,17892.625,93,0,1
0,0,0,1,4,2,3,9354,441,3,3,2,0,23,68,5,4,-73.8272029,40.6166766,5,44288838,16971.625,29,1,1
0,0,0,1,4,2,3,31281,480,3,1,2,0,24,64,4,2,-84.3016021,33.8992049,4,56659972,16602.625,73,-3,0
1,1,1,0,6,0,3,544,787,3,2,1,0,41,75,4,2,-93.0676373,44.9309348,7,29524581,16573.625,84,1,1
1,1,0,0,4,1,3,2334,600,3,1,3,2,29,57,7,2,-73.6918806,40.636775,5,33105135,17479.625,104,3,0
0,0,2,0,7,1,2,5167,616,1,1,1,1,45,78,6,1,-73.762495,42.6532844,5,47708969,16886.625,5,-1,1
0,0,0,0,6,1,1,4076,637,3,3,2,0,30,40,6,2,-81.7239979,30.2775931,0,81260225,16806.625,56,1,1
1,0,2,0,1,2,0,29558,554,1,1,1,0,65,60,4,2,-87.8255007,42.638141,2,45211733,17130.625,102,1,1
0,0,0,0,4,2,4,8841,522,4,2,2,0,32,77,5,2,-73.0700421,40.7941562,5,82449095,17602.625,88,0,0
0,0,1,0,9,0,1,3097,607,3,1,1,1,43,72,4,2,-82.7535929,27.8780347,0,13469725,16569.625,85,1,1
0,0,1,0,6,0,0,3036,549,1,2,1,0,58,66,6,3,-81.9425701,26.6272788,0,91112871,17136.625,41,-1,0
0,0,0,1,5,0,0,1592,778,3,2,2,2,35,68,5,3,-74.3411515,40.6519674,6,29350734,17050.625,98,-3,0
0,0,1,0,7,2,3,14512,563,2,1,3,1,47,82,4,2,-78.7362845,42.8795568,5,82912559,17350.625,67,-2,1
0,0,2,0,0,2,4,36696,582,2,1,1,0,58,69,5,2,-89.1438051,44.3387864,2,92564645,16664.625,23,-2,1
